FirstName,Phone,Notes
Rahul,+919876543210,Interested in premium plan
Priya,+919876543211,Requested callback tomorrow
Amit,+919876543212,Looking for pricing details
Sneha,+919876543213,Interested in demo session
Vikas,+919876543214,Needs technical support
Anjali,+919876543215,Follow up next week
Rohit,+919876543216,Asked for brochure
Neha,+919876543217,Potential enterprise customer
Karan,+919876543218,Interested in annual subscription
Pooja,+919876543219,Requested product comparison
Arjun,+919876543220,Needs onboarding assistance
Meera,+919876543221,Interested in partnership
Sandeep,+919876543222,Requested quote
Kavita,+919876543223,Needs feature clarification
Nitin,+919876543224,Follow up after weekend
Riya,+919876543225,Interested in trial version
Manoj,+919876543226,Waiting for approval
Simran,+919876543227,Asked for discount details
Deepak,+919876543228,Interested in bulk purchase
Aisha,+919876543229,Needs sales consultation
Harsh,+919876543230,Requested meeting schedule
Ishita,+919876543231,Interested in API integration
Yash,+919876543232,Needs custom solution
Tanvi,+919876543233,Follow up in 3 days
Aditya,+919876543234,Requested product demo
